,comment,cl_comment,wordlist,emojis,sent_num,sent,user,mentioned,likes
2758,❤️❤️❤️Full sexi,full sexi,"['full', 'sexi']",❤❤❤,0.4476521739130435,neu,harshajprakashrao, ,0
2759,🔥, ,[],🔥,0.1397849462365591,neu,rameshrajzxx740, ,0
2760,Hello,hello,['hello'], ,0.0,neu,jorginoluches, ,0
2761,😍😍, ,[],😍😍,0.6779367825129737,neu,o.p.jangidhoodu, ,0
2762,👏👏👏👏, ,[],👏👏👏👏,0.5205479452054794,neu,o.p.jangidhoodu, ,0
2763,زدم بالا روت, ,[], ,0.0,neu,aweq114, ,0
2764,😮❤️🔥, ,[],😮❤🔥,0.38788322684535864,neu,alilubro, ,0
2765,U beautiful,u beauti,"['u', 'beauti']", ,0.0,neu,glentonclayton8, ,0
2766,🔥🔥🔥🔥🔥❤️❤️❤️❤️❤️, ,[],🔥🔥🔥🔥🔥❤❤❤❤❤,0.4429359513791491,neu,glentonclayton8, ,0
2767,❤️❤️❤️❤️❤️, ,[],❤❤❤❤❤,0.7460869565217392,neu,nazimqureshi5631, ,0
2768,Hii,hii,['hii'], ,0.0,neu,nazimqureshi5631, ,0
2769,So pretty🔥🔥❤️,pretti,['pretti'],🔥🔥❤,0.25641421224871436,neu,samamin20, ,0
2770,Deer,deer,['deer'], ,0.0,neu,jagdish.chand.5439087, ,0
2771,❤️, ,[],❤,0.7460869565217392,neu,jagdish.chand.5439087, ,0
2772,Nice,nice,['nice'], ,0.4215,pos,waston1129, ,0
2773,Really so much beautiful😍💓,realli much beauti,"['realli', 'much', 'beauti']",😍💓,0.26995029086552913,neu,prakashmandal973, ,0
2774,love,love,['love'], ,0.6369,pos,fi.tra795, ,0
2775,❤️❤️❤️, ,[],❤❤❤,0.7460869565217392,neu,dhbybas, ,0
2776,سلام, ,[], ,0.0,neu,dhbybas, ,0
2777,🔥🔥🔥🔥, ,[],🔥🔥🔥🔥,0.1397849462365591,neu,mstfhmd9084, ,0
2778,"Man fuck the rest ,You the Best. SEXY  MILF . REAL TALK ! !",man fuck rest best sexi milf real talk,"['man', 'fuck', 'rest', 'best', 'sexi', 'milf', 'real', 'talk']", ,0.1779,neu,kowboy254, ,0
2779,Hi,hi,['hi'], ,0.0,neu,fr_eddy4095, ,0
2780,您好, ,[], ,0.0,neu,zhouliangjun995, ,0
2781,Ayıp amq,ayp amq,"['ayp', 'amq']", ,0.0,neu,i_remcigin_lolipopu, ,0
2782,❤️❤️, ,[],❤❤,0.7460869565217392,neu,radhaikghanshyam, ,0
2783,Hi,hi,['hi'], ,0.0,neu,amarnaththamilanamarnaththamil, ,0
2784,The most natural one wins the game 💯,natur one win game,"['natur', 'one', 'win', 'game']",💯,0.4928958241758242,pos,leona_oly777, ,0
2785,😍🔥, ,[],😍🔥,0.40886086437476643,neu,devil.boy.71, ,0
2786,Very hot 🔥 so sexy😍,hot sexi,"['hot', 'sexi']",🔥😍,0.20443043218738322,neu,birbal7813, ,0
2787,Work it 🔥🔥🔥,work,['work'],🔥🔥🔥,0.10483870967741932,neu,cyazzie3, ,0
2788,😍😍😍😍😍😍😍❤️❤️❤️❤️❤️❤️ ادیت, ,[],😍😍😍😍😍😍😍❤❤❤❤❤❤,0.7093907089785578,neu,17.286374, ,0
2789,🔥🔥🔥, ,[],🔥🔥🔥,0.1397849462365591,neu,antonilopez8719, ,0
2790,Lol,lol,['lol'], ,0.4215,pos,prince_imo_45, ,0
2791,Beautiful🔥🔥🔥🔥🔥🔥🔥🔥🔥😍😍😍🔥🔥❤️🙌🙌🔥🔥😍😍😍😍😍😍😍😍😍😍😍😍😍,beauti,['beauti'],🔥🔥🔥🔥🔥🔥🔥🔥🔥😍😍😍🔥🔥❤🙌🙌🔥🔥😍😍😍😍😍😍😍😍😍😍😍😍😍,0.44033726398192513,neu,maurice_smith_boss, ,0
